Appliances,Attic Size,Basement,Baths,Beds,Cool,Days On Zillow,Driveway,Exterior,Family Room,Floor,Floor Size,Foundation,Foundation Type,Geocode Source,Heat,Heat Source,Interior Features,Last Change Type,Last Sold,Lot,Mls,Mls #,Other Rooms,Parcel #,Parcel Number,Park,Price/Sqft,Property Sub Type,Property Type,Roof Type,Room Count,School District,Sellers Request,Sewer,Stories,Style,Trim,Unit Count,Views Since List,Water,id,V1,V2,V3,V4,V5,V6,V7,V8,V9,Architectural Style,Features,Interior Trim,Kitchen Cabinets,Street Construction,Street Suffix,Type Of Property,Views In The Past 30 Days,Water Heater,Hoa Fee,Structure Type,View,Addition Size,Assn Fee Term,Fireplace,Garage Capacity,Garage Type,Lot Width,Outbuilds,Terrain,Architectural_style,Central_air_desc,Has_ceil_fan_fl,Heat_desc,Neighborhoods,Original_listhub_key,Roof_types,Taxes_annual
Dishwasher; Garbage disposal; Microwave; Range / Oven,0,Partial,3 full; 1 half,4,Central,2,Gravel,Cement concrete,1st Floor,Hardwood; Tile,3; 769 sqft,Concrete Block,Concrete,PxPoint,Forced air;  Gas,Natural,1st Flr Laundry; Carpeting; Smoke Detector; Tile; See Remarks; Shades/Shutters; Drapes/Curtains,New Listing,Jul 2005 for $235; 000,3.87 acres,Des Moines,51405,Pantry; Den; Mud Room,0101300460,0101300460,Attached Garage; 2238 sqft garage,$237,Acreages,Residential,Asphalt,8,Roland-Story,1,City,2,Two Story,Paint,0,529,City,98948388,Single Family,1902,Forced air,Central,Attached Garage,3.87 acres,2 Days,$237,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93956861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93956919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dryer; Washer;  Dishwasher; Disposal; Dryer; Microwave; Range; Refrigerator,NA,Full; Finished,NA,4,NA,172,NA,Other; Wood,NA,Vinyl; Carpet; Tile,1; 680 sqft,Tile,NA,NA,Baseboard;  Hot Water; Propane,NA,NA,NA,Jun 2014 for $14; 900,1.2 acres,NA,50512,NA,1319200435,NA,Attached Garage; Detached Garage; 400 sqft garage,$116,NA,NA,Asphalt,7,Ballard,NA,NA,2,NA,NA,0,NA,NA,93947916,Single Family,1888,Baseboard,No Data,Attached Garage; Detached Garage,1.2 acres,172 Days,$116,74,2 Story,Ceiling Fan(s); Sump Pump; Storage Shed; Water Softner-Owned; Patio; Propane Tnk - Owned,Painted,Painted,Hard Surface,Avenue,Single Family Residence,2; 389,Gas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93948071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93960270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dishwasher; Dryer; Freezer; Garbage disposal; Microwave; Range / Oven; Trash compactor; Washer,NA,Unfinished; 1500 sqft,2 full; 1 three-quarter,3,Central; Other; Refrigeration,5,NA,Other; Vinyl,NA,Hardwood,3; 318 sqft,NA,Concrete,NA,Radiant;  Propane butane,NA,NA,NA,Jul 1995 for $60; 000,2 acres,NA,NA,NA,1418100366,NA,Detached Garage; 2 spaces; 1274 sqft garage,$219,NA,NA,Shake/Shingle,11,NA,NA,NA,2,NA,NA,0,558,NA,93949214,Single Family,2002,Radiant,Central; Other; Refrigeration,2 spaces,2 acres,5 Days,$219,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,$83/mo,Cape cod,Territorial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,307,Finished; 815 sqft,NA,4,Other,344,Concrete,Cement concrete,Lower Level; 1st Floor,Hardwood,2; 162 sqft,Poured,Concrete,PxPoint,Forced air;  Gas,Natural,Carpeting; Tile; Fire Alarm,New Listing,Oct 1990 for $139; 900,0.85 acres,Des Moines,50566,Den,0520350125,05-20-350-125,Attached Garage; 496 sqft garage,$120,Residential,Residential,Asphalt,8,Gilbert,0,Septic,0,Two Story,Pine; Paint,0,NA,Well,93951554,Single Family,1974,Forced air,Other,Attached Garage,0.85 acres,344 Days,$120,51,NA,NA,NA,NA,NA,NA,NA,1; 786,NA,$450/mo,NA,NA,815,Month,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dishwasher; Disposal; Dryer; Microwave; Range; Refrigerator; Washer,NA,Partial; Finished,2 full; 1 half,3,Central;  Central Air,17,NA,Wood;  Stone; Wood,NA,Hardwood; Vinyl; Carpet; Tile,1; 765 sqft,Crawl Space; Concrete Block,Concrete Block,NA,Gas;  Forced Air; Natural Gas,NA,NA,NA,Nov 2012 for $265; 000,1.4 acres,NA,51298,NA,0905425080,NA,Attached Garage; 400 sqft garage,$176,NA,NA,Composition,7,Ames,NA,NA,1,NA,NA,0,1; 721,Public,93960380,Single Family,1949,No Data,Central,Attached Garage,1.4 acres,17 Days,$176,51,1 Story,Ceiling Fan(s); Fence; Sump Pump; Porch - Open; Deck; Window Treatment(s); Jetted Tub; Central Vacuum; Radon Mitigation Sys; Main Floor Bedroom,Painted,Oak,NA,Street,Single Family Residence,NA,Gas,NA,NA,NA,NA,NA,Gas,2 Car,Attached,100 ft,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93949225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
